epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,2788.02,1.67471,1.00765,0.0057,0.8124,0.67004,0.77594,0.49945,1.57335,0.95154,0.00699,0.00533358,0.00177786,0.00533358,0.00177786,0.00533358,0.00177786,0.00533358,0.00177786
76,3114.29,1.67675,1.00288,0.00567,0.81219,0.67023,0.77594,0.4995,1.57484,0.95084,0.00699,0.00500025,0.00166675,0.00500025,0.00166675,0.00500025,0.00166675,0.00500025,0.00166675
77,3441.97,1.66844,1.00045,0.00565,0.81237,0.67025,0.77608,0.49971,1.57539,0.95068,0.00699,0.00466692,0.00155564,0.00466692,0.00155564,0.00466692,0.00155564,0.00466692,0.00155564
78,3771.29,1.66791,0.99343,0.00565,0.8133,0.67004,0.77618,0.49979,1.57522,0.95098,0.00699,0.00433359,0.00144453,0.00433359,0.00144453,0.00433359,0.00144453,0.00433359,0.00144453
79,4097.84,1.67727,0.99803,0.00561,0.8127,0.66973,0.77617,0.49982,1.57494,0.95079,0.00698,0.00400026,0.00133342,0.00400026,0.00133342,0.00400026,0.00133342,0.00400026,0.00133342
80,4424.9,1.6705,0.99393,0.00566,0.81289,0.67022,0.77627,0.49991,1.57467,0.95093,0.00698,0.00366693,0.00122231,0.00366693,0.00122231,0.00366693,0.00122231,0.00366693,0.00122231
81,4739.6,1.61441,0.94736,0.00601,0.81305,0.67052,0.77644,0.50012,1.57536,0.95001,0.00698,0.0033336,0.0011112,0.0033336,0.0011112,0.0033336,0.0011112,0.0033336,0.0011112
82,5053.3,1.60545,0.93895,0.00596,0.81301,0.6704,0.77658,0.50021,1.57539,0.94989,0.00698,0.00300027,0.00100009,0.00300027,0.00100009,0.00300027,0.00100009,0.00300027,0.00100009
83,5367.77,1.6073,0.93609,0.0059,0.81359,0.66975,0.77661,0.50027,1.57435,0.95064,0.00697,0.00266694,0.00088898,0.00266694,0.00088898,0.00266694,0.00088898,0.00266694,0.00088898
84,5681.62,1.60448,0.93371,0.00585,0.81309,0.66973,0.77648,0.50042,1.57328,0.95015,0.00697,0.00233361,0.00077787,0.00233361,0.00077787,0.00233361,0.00077787,0.00233361,0.00077787
85,5994.42,1.59892,0.92892,0.00586,0.81416,0.6695,0.77665,0.50047,1.57301,0.95009,0.00697,0.00200028,0.00066676,0.00200028,0.00066676,0.00200028,0.00066676,0.00200028,0.00066676
86,6314.86,1.59859,0.92656,0.00585,0.81417,0.66978,0.77659,0.50056,1.57331,0.94944,0.00697,0.00166695,0.00055565,0.00166695,0.00055565,0.00166695,0.00055565,0.00166695,0.00055565
87,6629.21,1.59185,0.91966,0.00583,0.81478,0.66951,0.7767,0.5007,1.57264,0.94931,0.00697,0.00133362,0.00044454,0.00133362,0.00044454,0.00133362,0.00044454,0.00133362,0.00044454
88,6943.76,1.59572,0.91883,0.00577,0.81489,0.66919,0.77665,0.5007,1.57207,0.94983,0.00697,0.00100029,0.00033343,0.00100029,0.00033343,0.00100029,0.00033343,0.00100029,0.00033343
89,7256.01,1.5882,0.9153,0.00578,0.8147,0.66889,0.77666,0.50078,1.57294,0.94973,0.00697,0.00066696,0.00022232,0.00066696,0.00022232,0.00066696,0.00022232,0.00066696,0.00022232
90,7569.93,1.58646,0.91138,0.00575,0.81356,0.66979,0.77656,0.50077,1.5731,0.94943,0.00697,0.00033363,0.00011121,0.00033363,0.00011121,0.00033363,0.00011121,0.00033363,0.00011121
