step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
1440,1.15350466e-02,3.14645073e-03,2.72773117e-01,4.37570155e-01,9907,1.49177599e+00,1.26820254e+00
1450,1.20139085e-02,3.10345413e-03,2.58321762e-01,4.38592255e-01,11206,1.61627674e+00,1.28487754e+00
1460,1.16974153e-02,2.86416989e-03,2.44854942e-01,4.63179588e-01,11270,1.54652870e+00,1.22140849e+00
1470,1.19468709e-02,3.11857346e-03,2.61036843e-01,4.51423198e-01,9842,1.54406881e+00,1.26384747e+00
1480,1.27572594e-02,3.13103152e-03,2.45431364e-01,4.36135173e-01,9756,1.50758803e+00,1.23844147e+00
1490,1.12277251e-02,3.28293070e-03,2.92394996e-01,4.51142758e-01,9889,1.59044790e+00,1.32055068e+00
1500,1.16533572e-02,3.10380151e-03,2.66343981e-01,4.66552526e-01,10442,1.56332970e+00,1.26253307e+00
1510,1.19893821e-02,3.51811410e-03,2.93435812e-01,4.63389963e-01,8260,1.50680399e+00,1.25504577e+00
1520,1.22013744e-02,3.42417788e-03,2.80638695e-01,4.40378845e-01,8934,1.55889225e+00,1.30105329e+00
1530,1.09501444e-02,3.10145807e-03,2.83234447e-01,4.55190182e-01,10964,1.59349263e+00,1.28856349e+00
1540,1.23919444e-02,2.89546163e-03,2.33656764e-01,4.41851765e-01,10865,1.51125062e+00,1.20187402e+00
1550,1.12865577e-02,3.20896832e-03,2.84317732e-01,4.56737280e-01,9591,1.50381303e+00,1.28657699e+00
1560,1.29563836e-02,3.35653918e-03,2.59064496e-01,4.30332303e-01,8354,1.50254977e+00,1.27456808e+00
1570,1.11778351e-02,3.41319502e-03,3.05353850e-01,4.56350058e-01,9313,1.54086661e+00,1.32211685e+00
1580,1.10771181e-02,2.93039251e-03,2.64544666e-01,4.50082928e-01,10891,1.46852171e+00,1.24634480e+00
1590,1.17920507e-02,3.57517297e-03,3.03185016e-01,4.47367787e-01,8037,1.44125915e+00,1.29923654e+00
1600,1.15893027e-02,3.26566910e-03,2.81783044e-01,4.62986827e-01,10734,1.63429654e+00,1.30283213e+00
1610,1.14162648e-02,3.11806332e-03,2.73124635e-01,4.53947574e-01,9759,1.48478115e+00,1.26914096e+00
1620,1.10439062e-02,2.85749719e-03,2.58739710e-01,4.51017976e-01,11864,1.54637885e+00,1.24986994e+00
1630,1.25722643e-02,3.14350030e-03,2.50034541e-01,4.39318329e-01,9326,1.49815404e+00,1.23379612e+00
1640,1.15691507e-02,3.24981194e-03,2.80903250e-01,4.39005494e-01,10081,1.54073620e+00,1.29101932e+00
1650,1.15953591e-02,3.21222842e-03,2.77027071e-01,4.46982384e-01,9966,1.52488339e+00,1.28464985e+00
1660,1.14921378e-02,3.29555990e-03,2.86766469e-01,4.44307864e-01,9912,1.58741677e+00,1.33660674e+00
1670,1.91179570e-02,4.68393415e-03,2.45001808e-01,4.26095605e-01,4883,1.67836618e+00,1.29026580e+00
1680,1.19540254e-02,3.18288105e-03,2.66260177e-01,4.43976164e-01,9875,1.53260827e+00,1.28483438e+00
1690,1.22658927e-02,3.42673413e-03,2.79370964e-01,4.31818515e-01,9313,1.59381449e+00,1.34370399e+00
1700,1.07254507e-02,3.06591042e-03,2.85853773e-01,4.68109608e-01,10289,1.50551558e+00,1.26555300e+00
1710,1.17843822e-02,3.07292677e-03,2.60762662e-01,4.48255390e-01,9667,1.43073297e+00,1.22842014e+00
1720,1.12236207e-02,3.09433858e-03,2.75698781e-01,4.60410208e-01,10111,1.46456838e+00,1.25671029e+00
1730,1.18460841e-02,3.52561893e-03,2.97618926e-01,4.64969635e-01,8045,1.45603001e+00,1.28829134e+00
1740,1.12760374e-02,3.05802631e-03,2.71196902e-01,4.52949703e-01,11015,1.55699599e+00,1.28363419e+00
1750,1.19598312e-02,3.20187653e-03,2.67719209e-01,4.42202926e-01,8681,1.41317534e+00,1.25544095e+00
1760,1.10598337e-02,3.06028430e-03,2.76702553e-01,4.72160637e-01,10229,1.49372804e+00,1.24753141e+00
1770,1.20309405e-02,3.43516376e-03,2.85527438e-01,4.30952668e-01,8351,1.43238890e+00,1.27257895e+00
1780,1.15804030e-02,3.38510866e-03,2.92313546e-01,4.48493689e-01,9404,1.55951536e+00,1.32961440e+00
1790,1.21413702e-02,2.99880351e-03,2.46990532e-01,4.49933112e-01,10082,1.50749552e+00,1.22905087e+00
1800,1.16759362e-02,3.03214183e-03,2.59691536e-01,4.51125294e-01,11120,1.56582475e+00,1.25570250e+00
1810,1.12214191e-02,3.34499730e-03,2.98090398e-01,4.56771612e-01,9560,1.50816262e+00,1.29036951e+00
1820,1.17694745e-02,3.02997045e-03,2.57443130e-01,4.56564307e-01,11011,1.57237411e+00,1.26168370e+00
