epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,3826.94,1.50927,1.02244,0.00578,0.8102,0.66517,0.76957,0.49562,1.39944,0.95451,0.00698,0.00800022,0.00266674,0.00800022,0.00266674,0.00800022,0.00266674,0.00800022,0.00266674
68,4161.47,1.52143,1.02584,0.00575,0.8089,0.66528,0.76949,0.49568,1.39869,0.95532,0.00697,0.00766689,0.00255563,0.00766689,0.00255563,0.00766689,0.00255563,0.00766689,0.00255563
69,4496.01,1.51083,1.02206,0.00578,0.80993,0.66483,0.76964,0.4959,1.39802,0.9549,0.00697,0.00733356,0.00244452,0.00733356,0.00244452,0.00733356,0.00244452,0.00733356,0.00244452
70,4831.58,1.50981,1.01931,0.00572,0.8096,0.66542,0.76954,0.49616,1.39747,0.9541,0.00696,0.00700023,0.00233341,0.00700023,0.00233341,0.00700023,0.00233341,0.00700023,0.00233341
71,5165.33,1.5062,1.01868,0.00572,0.80917,0.66588,0.76974,0.49629,1.39682,0.95402,0.00696,0.0066669,0.0022223,0.0066669,0.0022223,0.0066669,0.0022223,0.0066669,0.0022223
72,5500.92,1.50185,1.01116,0.0057,0.80999,0.66568,0.76998,0.49661,1.39664,0.95385,0.00696,0.00633357,0.00211119,0.00633357,0.00211119,0.00633357,0.00211119,0.00633357,0.00211119
73,5835.39,1.49429,1.00839,0.00572,0.81007,0.66597,0.77015,0.49682,1.3964,0.95286,0.00695,0.00600024,0.00200008,0.00600024,0.00200008,0.00600024,0.00200008,0.00600024,0.00200008
74,6169.85,1.50001,1.00977,0.00569,0.81089,0.66581,0.7703,0.49682,1.39622,0.95281,0.00695,0.00566691,0.00188897,0.00566691,0.00188897,0.00566691,0.00188897,0.00566691,0.00188897
75,6505.32,1.50399,1.00718,0.00564,0.81047,0.66633,0.77052,0.49709,1.39572,0.95241,0.00696,0.00533358,0.00177786,0.00533358,0.00177786,0.00533358,0.00177786,0.00533358,0.00177786
76,6839.85,1.50321,1.0064,0.00563,0.8112,0.66645,0.77064,0.49743,1.39515,0.9517,0.00695,0.00500025,0.00166675,0.00500025,0.00166675,0.00500025,0.00166675,0.00500025,0.00166675
77,7174.98,1.50139,1.00693,0.00562,0.81111,0.66627,0.77065,0.49752,1.39467,0.95122,0.00695,0.00466692,0.00155564,0.00466692,0.00155564,0.00466692,0.00155564,0.00466692,0.00155564
78,7510.88,1.48995,1.00113,0.00561,0.81095,0.66639,0.77068,0.49754,1.39421,0.95119,0.00695,0.00433359,0.00144453,0.00433359,0.00144453,0.00433359,0.00144453,0.00433359,0.00144453
79,7846.36,1.4967,1.00268,0.00562,0.81138,0.66611,0.77075,0.49776,1.39396,0.9509,0.00695,0.00400026,0.00133342,0.00400026,0.00133342,0.00400026,0.00133342,0.00400026,0.00133342
80,8181.03,1.48961,1.00272,0.00563,0.81006,0.66624,0.77065,0.49774,1.39421,0.95004,0.00695,0.00366693,0.00122231,0.00366693,0.00122231,0.00366693,0.00122231,0.00366693,0.00122231
81,8501.32,1.4352,0.95151,0.00599,0.81039,0.66628,0.77081,0.49792,1.39405,0.95012,0.00695,0.0033336,0.0011112,0.0033336,0.0011112,0.0033336,0.0011112,0.0033336,0.0011112
82,8822.12,1.42999,0.94039,0.00592,0.80961,0.66696,0.77099,0.49789,1.39412,0.94924,0.00695,0.00300027,0.00100009,0.00300027,0.00100009,0.00300027,0.00100009,0.00300027,0.00100009
83,9142.18,1.42242,0.94037,0.00587,0.81181,0.66572,0.77113,0.49816,1.39416,0.94896,0.00695,0.00266694,0.00088898,0.00266694,0.00088898,0.00266694,0.00088898,0.00266694,0.00088898
84,9463.08,1.42275,0.93501,0.00585,0.81054,0.66712,0.77133,0.49828,1.39415,0.94813,0.00695,0.00233361,0.00077787,0.00233361,0.00077787,0.00233361,0.00077787,0.00233361,0.00077787
85,9783.61,1.41968,0.92909,0.00581,0.81108,0.66648,0.77141,0.4984,1.39393,0.94804,0.00695,0.00200028,0.00066676,0.00200028,0.00066676,0.00200028,0.00066676,0.00200028,0.00066676
86,10104.2,1.41691,0.92732,0.00581,0.81265,0.66528,0.77143,0.49828,1.39384,0.94741,0.00694,0.00166695,0.00055565,0.00166695,0.00055565,0.00166695,0.00055565,0.00166695,0.00055565
87,10423.3,1.40902,0.92499,0.00578,0.81089,0.66646,0.77129,0.49846,1.39328,0.94717,0.00694,0.00133362,0.00044454,0.00133362,0.00044454,0.00133362,0.00044454,0.00133362,0.00044454
88,10743.4,1.41315,0.92274,0.00575,0.81088,0.66622,0.77114,0.4984,1.39282,0.94742,0.00694,0.00100029,0.00033343,0.00100029,0.00033343,0.00100029,0.00033343,0.00100029,0.00033343
89,11062.7,1.40103,0.91911,0.00573,0.81118,0.66651,0.77116,0.49861,1.3926,0.94696,0.00694,0.00066696,0.00022232,0.00066696,0.00022232,0.00066696,0.00022232,0.00066696,0.00022232
90,11383.6,1.40682,0.91511,0.00571,0.81075,0.6666,0.77115,0.49871,1.39206,0.94749,0.00694,0.00033363,0.00011121,0.00033363,0.00011121,0.00033363,0.00011121,0.00033363,0.00011121
