step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
730,1.30908610e-02,3.21132853e-03,2.45310724e-01,4.31036174e-01,7207,1.31766331e+00,1.20342112e+00
740,1.22350808e-02,3.20977857e-03,2.62342244e-01,4.28430408e-01,8636,1.46423912e+00,1.26792443e+00
750,1.14657292e-02,2.96155852e-03,2.58296579e-01,4.43273813e-01,9645,1.38318694e+00,1.21757817e+00
760,1.38453450e-02,3.46639776e-03,2.50365585e-01,4.11439627e-01,6392,1.30897045e+00,1.23681176e+00
770,1.48581928e-02,3.72775062e-03,2.50888556e-01,4.19282258e-01,6124,1.40316367e+00,1.25720036e+00
780,1.37270326e-02,3.49079748e-03,2.54300952e-01,4.20501530e-01,7099,1.39020252e+00,1.26316762e+00
790,1.38560627e-02,3.58957471e-03,2.59061664e-01,4.35028642e-01,6385,1.46312726e+00,1.23259890e+00
800,1.68487448e-02,3.57805309e-03,2.12363183e-01,4.09135938e-01,6228,1.48044789e+00,1.21231568e+00
810,1.63649414e-02,3.65476427e-03,2.23328888e-01,3.97958934e-01,5644,1.30923915e+00,1.20274496e+00
820,1.42310662e-02,4.00270522e-03,2.81265318e-01,4.00109440e-01,5385,1.30710113e+00,1.29413891e+00
830,1.32949864e-02,3.29157291e-03,2.47580007e-01,4.22597647e-01,7661,1.38558161e+00,1.23507512e+00
840,1.24430172e-02,3.11703468e-03,2.50504732e-01,4.30486441e-01,8581,1.41820657e+00,1.23116171e+00
850,1.39247887e-02,3.37219704e-03,2.42172226e-01,4.33937639e-01,6997,1.38254952e+00,1.20889068e+00
860,1.38204033e-02,3.28432396e-03,2.37643138e-01,4.10178095e-01,7239,1.35515976e+00,1.23072660e+00
870,1.40926428e-02,3.54183814e-03,2.51325339e-01,4.23314542e-01,6210,1.35079086e+00,1.23572397e+00
880,1.26535576e-02,3.23580578e-03,2.55723000e-01,4.20704544e-01,7652,1.32781446e+00,1.23169827e+00
890,1.32847736e-02,3.52482079e-03,2.65327871e-01,4.39540923e-01,6393,1.35116780e+00,1.22815394e+00
