epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,14256.8,1.197,0.74609,1.14295,0.81707,0.65799,0.76371,0.51564,0.49052,1.15362,0.70241,1.12313,0.0022223,0.0022223,0.0022223
72,14784.1,1.1979,0.74699,1.14225,0.81656,0.65843,0.76384,0.51633,0.49071,1.15316,0.70192,1.1227,0.00211119,0.00211119,0.00211119
73,15315.3,1.19656,0.74294,1.14089,0.81698,0.6585,0.76378,0.51594,0.49079,1.15299,0.70144,1.12254,0.00200008,0.00200008,0.00200008
74,15842.2,1.19347,0.7428,1.14186,0.8173,0.65856,0.76395,0.51614,0.49097,1.15258,0.70122,1.12226,0.00188897,0.00188897,0.00188897
75,16379.4,1.18906,0.73993,1.13772,0.81731,0.6585,0.76394,0.5165,0.49112,1.15231,0.70092,1.1219,0.00177786,0.00177786,0.00177786
76,16898.6,1.18559,0.73736,1.13661,0.81771,0.65822,0.76389,0.5163,0.49109,1.15215,0.70068,1.12169,0.00166675,0.00166675,0.00166675
77,17417.8,1.18583,0.73713,1.13638,0.81715,0.65849,0.76416,0.51648,0.49123,1.15199,0.70045,1.12146,0.00155564,0.00155564,0.00155564
78,17938.5,1.18192,0.73415,1.13474,0.81704,0.65861,0.76426,0.51672,0.49133,1.15179,0.70027,1.12127,0.00144453,0.00144453,0.00144453
79,18456.9,1.18277,0.73319,1.13081,0.81798,0.65815,0.76435,0.51679,0.49145,1.15151,0.70002,1.12103,0.00133342,0.00133342,0.00133342
80,18975.3,1.17754,0.73021,1.13183,0.8177,0.65866,0.76452,0.51713,0.49161,1.15145,0.69975,1.12087,0.00122231,0.00122231,0.00122231
81,19473.5,1.14221,0.69738,1.11296,0.81829,0.65857,0.76458,0.51689,0.49158,1.15147,0.69958,1.12085,0.0011112,0.0011112,0.0011112
82,19972.7,1.13422,0.68949,1.10562,0.81797,0.65905,0.76472,0.51733,0.49177,1.1514,0.69921,1.12072,0.00100009,0.00100009,0.00100009
83,20471.1,1.12988,0.68535,1.10526,0.81862,0.65871,0.76481,0.51741,0.49186,1.15119,0.69891,1.12061,0.00088898,0.00088898,0.00088898
84,20968.8,1.12752,0.6818,1.10288,0.81897,0.65885,0.7648,0.51739,0.49198,1.15107,0.69879,1.12053,0.00077787,0.00077787,0.00077787
85,21468.3,1.12201,0.67913,1.10074,0.8191,0.65879,0.76493,0.51737,0.49205,1.15107,0.69861,1.12046,0.00066676,0.00066676,0.00066676
86,21966.2,1.1197,0.67662,1.09751,0.8192,0.6589,0.76494,0.51761,0.49211,1.151,0.69852,1.12039,0.00055565,0.00055565,0.00055565
87,22466.1,1.11799,0.67374,1.09578,0.81873,0.6589,0.76492,0.51757,0.49207,1.15101,0.69836,1.12037,0.00044454,0.00044454,0.00044454
88,22965.1,1.11431,0.67214,1.09722,0.81836,0.659,0.76501,0.51741,0.49204,1.15105,0.69821,1.12031,0.00033343,0.00033343,0.00033343
89,574.178,1.13119,0.68758,1.10642,0.8184,0.6591,0.76498,0.51716,0.49198,1.15112,0.69828,1.12038,0.00022232,0.00022232,0.00022232
90,1053.94,1.12822,0.68334,1.10457,0.81887,0.65869,0.7648,0.51741,0.49197,1.15122,0.69829,1.12048,0.00011121,0.00011121,0.00011121
