epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,11389.2,1.21186,0.7623,1.15035,0.8169,0.65615,0.7626,0.4894,1.15896,0.70903,1.12325,0.00311118,0.00311118,0.00311118
64,11901.7,1.20834,0.75803,1.14917,0.81533,0.6573,0.76261,0.48945,1.15884,0.70835,1.12317,0.00300007,0.00300007,0.00300007
65,12416.1,1.21341,0.76435,1.15241,0.81546,0.6574,0.76287,0.48967,1.15802,0.70806,1.12227,0.00288896,0.00288896,0.00288896
66,12931.8,1.2074,0.75896,1.14844,0.81558,0.65749,0.76307,0.48988,1.15783,0.70745,1.12185,0.00277785,0.00277785,0.00277785
67,13447,1.20806,0.75744,1.14904,0.81613,0.65762,0.76327,0.49032,1.15738,0.70695,1.12183,0.00266674,0.00266674,0.00266674
68,13961.7,1.20478,0.7564,1.14675,0.81615,0.65799,0.76368,0.49058,1.15687,0.70622,1.12154,0.00255563,0.00255563,0.00255563
69,602.603,1.18701,0.7418,1.13973,0.81709,0.65769,0.76345,0.49052,1.15706,0.706,1.12149,0.00244452,0.00244452,0.00244452
70,1110.61,1.19107,0.74477,1.14031,0.81627,0.65818,0.76347,0.49059,1.15696,0.70577,1.12141,0.00233341,0.00233341,0.00233341
71,1614.72,1.18856,0.74321,1.13909,0.81796,0.65768,0.76353,0.49048,1.15705,0.70522,1.12113,0.0022223,0.0022223,0.0022223
72,2118.33,1.18674,0.74015,1.13765,0.81701,0.65842,0.76377,0.49051,1.15702,0.70488,1.12103,0.00211119,0.00211119,0.00211119
73,2623.45,1.18498,0.73963,1.13895,0.81724,0.65813,0.76375,0.4905,1.15697,0.7048,1.12096,0.00200008,0.00200008,0.00200008
74,3127.21,1.18511,0.73785,1.1373,0.81744,0.65784,0.7637,0.49059,1.15687,0.70439,1.1208,0.00188897,0.00188897,0.00188897
75,3631.56,1.17679,0.73224,1.13538,0.81795,0.65712,0.76363,0.49066,1.15675,0.70429,1.12059,0.00177786,0.00177786,0.00177786
76,4137.7,1.18057,0.73282,1.13379,0.81855,0.65719,0.76371,0.49075,1.15663,0.70412,1.12022,0.00166675,0.00166675,0.00166675
77,4643.81,1.17639,0.72943,1.13294,0.81829,0.65764,0.76365,0.4907,1.1565,0.70406,1.12009,0.00155564,0.00155564,0.00155564
78,5148.63,1.17633,0.72973,1.13115,0.81808,0.65788,0.7638,0.49071,1.15658,0.70387,1.11996,0.00144453,0.00144453,0.00144453
79,5653.36,1.17888,0.72784,1.12946,0.81761,0.65791,0.76371,0.4907,1.15692,0.70356,1.12003,0.00133342,0.00133342,0.00133342
80,6159.21,1.17322,0.72587,1.12816,0.81714,0.6583,0.76377,0.49065,1.15713,0.70336,1.12017,0.00122231,0.00122231,0.00122231
81,6644.19,1.14599,0.70115,1.11313,0.81625,0.65877,0.76392,0.49067,1.15704,0.70327,1.12009,0.0011112,0.0011112,0.0011112
82,7129.73,1.13813,0.69323,1.10905,0.81656,0.65872,0.76391,0.49073,1.15693,0.70309,1.11998,0.00100009,0.00100009,0.00100009
83,7615.31,1.134,0.68963,1.10666,0.8166,0.65902,0.76391,0.49091,1.15683,0.70277,1.11988,0.00088898,0.00088898,0.00088898
84,8100.31,1.13117,0.68492,1.10398,0.81648,0.65881,0.76377,0.49095,1.15676,0.70237,1.1198,0.00077787,0.00077787,0.00077787
85,8586.58,1.13091,0.68409,1.10249,0.81665,0.65904,0.7639,0.49093,1.15684,0.70207,1.11985,0.00066676,0.00066676,0.00066676
86,9071.21,1.12462,0.67859,1.10033,0.81672,0.65928,0.76392,0.49108,1.15679,0.70195,1.11974,0.00055565,0.00055565,0.00055565
87,9556.71,1.12304,0.67804,1.0998,0.8166,0.65933,0.76395,0.49111,1.15679,0.70187,1.11979,0.00044454,0.00044454,0.00044454
88,10043.4,1.12115,0.67589,1.09846,0.81647,0.65937,0.76399,0.49111,1.15691,0.7017,1.11979,0.00033343,0.00033343,0.00033343
89,586.127,1.13059,0.6871,1.10623,0.81654,0.65952,0.76399,0.49101,1.15696,0.70187,1.11992,0.00022232,0.00022232,0.00022232
90,1136.28,1.12771,0.68171,1.10146,0.81594,0.65934,0.76386,0.49091,1.15712,0.70191,1.11993,0.00011121,0.00011121,0.00011121
